timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1600081621189,1134,Explore pokhara package-1,200,OK,Thread Group 1 1-29,text,true,,8576,242,56,56,"https://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",1109,0,0
1600081620457,1867,Choose room from some hotel,200,OK,Thread Group 1 1-56,text,true,,9009,386,56,56,https://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,761,0,0
1600081620457,761,Choose room from some hotel-0,301,Moved Permanently,Thread Group 1 1-56,text,true,,508,193,56,56,http://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,761,0,0
1600081621218,1106,Choose room from some hotel-1,200,OK,Thread Group 1 1-56,text,true,,8501,193,56,56,https://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,1106,0,0
1600081620560,1789,Explore pokhara package,200,OK,Thread Group 1 1-58,text,true,,9133,484,56,56,"https://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",679,0,0
1600081620560,679,Explore pokhara package-0,301,Moved Permanently,Thread Group 1 1-58,text,true,,557,242,56,56,"http://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",679,0,0
1600081621239,1110,Explore pokhara package-1,200,OK,Thread Group 1 1-58,text,true,,8576,242,56,56,"https://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",1110,0,0
1600081620579,1808,Visit homepage,200,OK,Thread Group 1 1-46,text,true,,9008,234,56,56,https://xceltrip.com.np/,683,0,0
1600081620579,683,Visit homepage-0,301,Moved Permanently,Thread Group 1 1-46,text,true,,432,117,56,56,http://xceltrip.com.np/,683,0,0
1600081621262,1125,Visit homepage-1,200,OK,Thread Group 1 1-46,text,true,,8576,117,56,56,https://xceltrip.com.np/,1125,0,0
1600081620609,1911,Visit homepage,200,OK,Thread Group 1 1-13,text,true,,9008,234,56,56,https://xceltrip.com.np/,745,0,0
1600081620609,745,Visit homepage-0,301,Moved Permanently,Thread Group 1 1-13,text,true,,432,117,56,56,http://xceltrip.com.np/,745,0,0
1600081621354,1166,Visit homepage-1,200,OK,Thread Group 1 1-13,text,true,,8576,117,56,56,https://xceltrip.com.np/,1166,0,0
1600081620606,1935,Choose room from some hotel,200,OK,Thread Group 1 1-31,text,true,,9009,386,56,56,https://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,748,0,0
1600081620606,748,Choose room from some hotel-0,301,Moved Permanently,Thread Group 1 1-31,text,true,,508,193,56,56,http://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,748,0,0
1600081621354,1187,Choose room from some hotel-1,200,OK,Thread Group 1 1-31,text,true,,8501,193,56,56,https://xceltrip.com.np/searchresult/5df952945340354cb35b36e8/5f5f3447a4a898308af6a440/XCELA/Pokhara,1186,0,0
1600081620649,1940,Explore pokhara package,200,OK,Thread Group 1 1-45,text,true,,9133,484,56,56,"https://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",776,0,0
1600081620649,776,Explore pokhara package-0,301,Moved Permanently,Thread Group 1 1-45,text,true,,557,242,56,56,"http://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",776,0,0
1600081621426,1163,Explore pokhara package-1,200,OK,Thread Group 1 1-45,text,true,,8576,242,56,56,"https://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",1163,0,0
1600081620647,1968,Explore pokhara package,200,OK,Thread Group 1 1-33,text,true,,9133,484,56,56,"https://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",778,0,0
1600081620647,778,Explore pokhara package-0,301,Moved Permanently,Thread Group 1 1-33,text,true,,557,242,56,56,"http://xceltrip.com.np/searchpackages?adult_count=1&child_count=0&checkIn=2020-09-14&formatted_address=Pokhara,%20Nepal&city=Pokhara&country_code=NP",778,0,0
